_id,Nº OCORRÊNCIA,DATA DO FATO,HORA DO FATO,GRUPO DE INCIDENTE,TIPO DE INCIDENTE,UF,MUNICÍPIO,BAIRRO,LOGRADOURO,TIPO DE LOCAL
8975,55415608,2024-08-16T00:00:00,11:51:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,VITORIA,CENTRO,S/I,TRANSP COLETIVO
8976,55416267,2024-08-16T00:00:00,19:24:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,CRUZEIRO DO SUL,RUA NAO INFORMADA,OUTRO LOCAL
8977,55417824,2024-08-16T00:00:00,19:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,CARIACICA,ALTO LAGE,S/I,EMBARCAÇÃO
8978,55418140,2024-08-16T00:00:00,20:35:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,CARIACICA,PADRE GABRIEL,S/I,EMBARCAÇÃO
8979,55418499,2024-08-16T00:00:00,21:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,PRINCESA ISABEL,TRANSP COLETIVO
8980,55421162,2024-08-16T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,TAQUARA I,S/I,VIA PÚBLICA
8981,55422026,2024-08-16T00:00:00,20:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ATAIDE,EMIDIO FERREIRA SAGRAMENTO,VIA PÚBLICA
8982,55422182,2024-08-16T00:00:00,23:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,MARIO CYPRESTE,RUA,SAMBODROMO
8983,55422348,2024-08-16T00:00:00,22:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ATAIDE,NÃO INFORMADA,VIA PÚBLICA
8984,55422442,2024-08-16T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVO BRASIL,RUA BOCA DO MATO,VIA PÚBLICA
8985,55422744,2024-08-16T00:00:00,20:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,VIANA,AREINHA,RUA PRINCIPAL,VIA PÚBLICA
8986,55423783,2024-08-16T00:00:00,17:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,OUTRO LOCAL,"ROD. GOVERNADOR MARIO COVAS, PADRE MATHIAS",VIA PÚBLICA
8987,55423790,2024-08-16T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,VILA RUBIM,RUA PRINCIPAL,VIA PÚBLICA
8988,55424621,2024-08-16T00:00:00,20:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,VIANA,ARLINDO ANGELO VILLASCHI,S/I,VEÍCULO
8989,55428881,2024-08-16T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,MARIO CYPRESTE,AV DÁRIO LOURENÇO DE SOUZA,SAMBODROMO
8990,55439013,2024-08-16T00:00:00,21:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VILA VELHA,SANTOS DUMONT,RUA ANTONIO F NASCIMENTO,COMÉRCIO
8991,55442023,2024-08-16T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,CARIACICA,OUTRO LOCAL,S/I,TRANSP COLETIVO
8992,55445151,2024-08-16T00:00:00,17:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,PORTO DE SANTANA,RUA PRINCIPAL,VIA PÚBLICA
8993,55450488,2024-08-16T00:00:00,03:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CASTELANDIA,RUA E,TRANSP COLETIVO
8994,55452276,2024-08-16T00:00:00,14:15:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,AV SATURNINO RANGEL MAURO,VIA PÚBLICA
8995,55452372,2024-08-16T00:00:00,06:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ROSA DA PENHA,RUA QUINTA DO SOL,VIA PÚBLICA
8996,55452714,2024-08-16T00:00:00,17:35:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CIVIT II,AV.CENTRAL,VIA PÚBLICA
8997,55453090,2024-08-16T00:00:00,15:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CENTRAL CARAPINA,S/I,TRANSP COLETIVO
8998,55453106,2024-08-16T00:00:00,15:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,CARAPINA,S/I,TRANSP COLETIVO
8999,55454723,2024-08-16T00:00:00,15:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,OUTRO LOCAL,ROD DO CONTORNO BR 101,VEÍCULO
9000,55460995,2024-08-16T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VIANA,CANAA,RUA PRINCIPAL,VIA PÚBLICA
9001,55462456,2024-08-16T00:00:00,22:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,CENTRO,AV. AUGUSTO CALMON,OUTRO LOCAL
9002,55463303,2024-08-16T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SANTA LUZIA,ROD GOV JOSÉ HENRIQUE SETTE,VIA PÚBLICA
9003,55469433,2024-08-16T00:00:00,15:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,ANDRE CARLONI,BR CONTORNO,TRANSP COLETIVO
9004,55474471,2024-08-16T00:00:00,22:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,PRAIA DOS RECIFES,S/I,VIA PÚBLICA
9005,55509377,2024-08-16T00:00:00,19:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,VITORIA,PRAIA DO CANTO,BOBS,TRANSP COLETIVO
9006,55519390,2024-08-16T00:00:00,04:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,PLANALTO DE CARAPINA,BR 101,RODOVIA FEDERAL
9007,55418942,2024-08-17T00:00:00,16:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,ZONA RURAL,QUEIMADOS,VIA PÚBLICA
9008,55418999,2024-08-17T00:00:00,01:14:08,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,EUA NAO INFORMADA,VIA PÚBLICA
9009,55420167,2024-08-17T00:00:00,05:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,PORTAL DE JACARAIPE,AV RUAL LEÃO CASTELO,VIA PÚBLICA
9010,55420270,2024-08-17T00:00:00,06:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,PLANALTO,"ÚLTIMA RUA DO PLANALTO, PERTO DO JOCAFE",VIA PÚBLICA
9011,55420445,2024-08-17T00:00:00,05:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,AV. FERNANDO FERRARI,VIA PÚBLICA
9012,55420957,2024-08-17T00:00:00,06:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,MARBELLA,ES 010,RODOVIA ESTADUAL
9013,55422139,2024-08-17T00:00:00,11:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,GUARAPARI,PRAIA DO MORRO,AV OCEÂNICA,VIA PÚBLICA
9014,55425786,2024-08-17T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,SERRA,MORADA DE LARANJEIRAS,AV PAULO PEREIRA GOMES,COMÉRCIO
9015,55427514,2024-08-17T00:00:00,04:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,MARIO CYPRESTE,SAMBÃO DO POVO,VIA PÚBLICA
9016,55431006,2024-08-17T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,NOVO HORIZONTE,S/I,VIA PÚBLICA
9017,55439427,2024-08-17T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,ENSEADA DO SUA,AV. NOSSA SRA. DOS NAVEGANTES,VIA PÚBLICA
9018,55439447,2024-08-17T00:00:00,21:41:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,PRAIA DO SUA,AV. NOSSA SRA. DOS NAVEGANTES,VIA PÚBLICA
9019,55439764,2024-08-17T00:00:00,05:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CASTELANDIA,RUA: MIGUEL LEÃO,VIA PÚBLICA
9020,55439779,2024-08-17T00:00:00,22:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,NOVA ALMEIDA CENTRO,AV COLATINA,VIA PÚBLICA
9021,55439829,2024-08-17T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,CENTRO,PRACINHA PERTO DA RODOVIARIA,OUTRO LOCAL
9022,55444561,2024-08-17T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CACHOEIRO DE ITAPEMIRIM,CORAMARA,S/I,VIA PÚBLICA
9023,55451997,2024-08-17T00:00:00,11:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,MARATAIZES,NOVA CANAA,FAZENDA CANAÃ,VIA PÚBLICA
9024,55453301,2024-08-17T00:00:00,02:54:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,BAIRRO DE FATIMA,AVENIDA JOSE MOREIRA MARTINS RATO,VIA PÚBLICA
9025,55459840,2024-08-17T00:00:00,05:33:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,MARIO CYPRESTE,AV DÁRIO LOURENÇO DE SOUZA,VIA PÚBLICA
9026,55473040,2024-08-17T00:00:00,19:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ITAQUARI,RUA OTAVIO BARBOSA DA SILVA,VIA PÚBLICA
9027,55613608,2024-08-17T00:00:00,04:58:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,AV.FERNANDO FERRARI,VIA PÚBLICA
9028,55712393,2024-08-17T00:00:00,21:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,SERRA,PARQUE JACARAIPE,S/I,TRANSP COLETIVO
9029,55714408,2024-08-17T00:00:00,19:46:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,MORADA DO SOL,1135 ROD. DO SOL,RODOVIA ESTADUAL
9030,55850728,2024-08-17T00:00:00,18:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,SAO DIOGO II,S/I,VIA PÚBLICA
9031,55430074,2024-08-18T00:00:00,06:01:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,LINHARES V,NAO INFORMADA,VIA PÚBLICA
9032,55431088,2024-08-18T00:00:00,07:20:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ATAIDE,ROD CARLOS LINDEMBERG,VIA PÚBLICA
9033,55431447,2024-08-18T00:00:00,10:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,SANTA RITA,EST CAPUABA,VIA PÚBLICA
9034,55435866,2024-08-18T00:00:00,19:29:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,JARDIM MARILANDIA,AV CARLOS LINDENBERG,VIA PÚBLICA
9035,55437550,2024-08-18T00:00:00,23:02:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,ICONHA,BOM DESTINO,NAO INFORMADA,RESIDÊNCIA
9036,55439481,2024-08-18T00:00:00,00:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,JARDIM LIMOEIRO,RUA LOURIVAL NUNES,VIA PÚBLICA
9037,55439816,2024-08-18T00:00:00,01:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,FEU ROSA,RUA DAS DÁLIAS,VIA PÚBLICA
9038,55439974,2024-08-18T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ARACAS,RUA LA PAZ,VIA PÚBLICA
9039,55439997,2024-08-18T00:00:00,06:10:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,VITORIA,PARQUE MOSCOSO,S/I,TRANSP COLETIVO
9040,55440103,2024-08-18T00:00:00,06:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,CENTRO VILA VELHA,RUA DOUTOR ANTONIO ATAIDE,VIA PÚBLICA
9041,55440280,2024-08-18T00:00:00,05:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,JARDIM DA PENHA,AVENIDA ALZIRO ZARUR,VIA PÚBLICA
9042,55440606,2024-08-18T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,PORTO CANOA,S/I,VIA PÚBLICA
9043,55440950,2024-08-18T00:00:00,21:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ALECRIM,RUA BOM DIVINO,VIA PÚBLICA
9044,55440974,2024-08-18T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,PRAIA DO CANTO,S/I,VIA PÚBLICA
9045,55441054,2024-08-18T00:00:00,22:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,VITORIA,CENTRO,AV GERONIMO MONTEIRO,VEÍCULO
9046,55443133,2024-08-18T00:00:00,22:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VITORIA,CENTRO,AV. MAL MASCARENHAS DE MORAES,VIA PÚBLICA
9047,55444477,2024-08-18T00:00:00,23:01:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ATAIDE,CASA,OUTRO LOCAL
9048,55444622,2024-08-18T00:00:00,04:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,ARIBIRI,S/I,RODOVIA ESTADUAL
9049,55444847,2024-08-18T00:00:00,07:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,XURY,RODOVIA / ESTRADA ES 388,VIA PÚBLICA
9050,55445069,2024-08-18T00:00:00,15:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM RESIDÊNCIA/CONDOMÍNIO,ES,VILA VELHA,SANTA INES,AVENIDA RUI BRAGA RIBEIRO,RESIDÊNCIA
9051,55452160,2024-08-18T00:00:00,20:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,MARATAIZES,BARRA DE ITAPEMIRIM,S/I,VIA PÚBLICA
9052,55461257,2024-08-18T00:00:00,19:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,VILA VELHA,MORADA DA BARRA,RUA MURIÁ,VIA PÚBLICA
9053,55462336,2024-08-18T00:00:00,04:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,TRES BARRAS,NAIR GUIMARÃES,REPARTICAO PUBLICA
9054,55462797,2024-08-18T00:00:00,19:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CARAPINA,NÃO INFORMADA,RESIDÊNCIA
9055,55469331,2024-08-18T00:00:00,15:38:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,PRAIA DO CANTO,RUA ALEIXO NETTO,COMÉRCIO
9056,55473294,2024-08-18T00:00:00,23:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,ALTO LAGE,RUA JOSE VIEIRA,RESIDÊNCIA
9057,55482180,2024-08-18T00:00:00,22:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,SERRA DOURADA I,S/I,VIA PÚBLICA
9058,55512028,2024-08-18T00:00:00,19:50:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,SAO DIOGO I,S/I,VIA PÚBLICA
9059,55519604,2024-08-18T00:00:00,21:35:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,SANTA LUCIA,AC NOSSA SENHORA DA PENH,COMÉRCIO
9060,55528540,2024-08-18T00:00:00,05:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,NOVA CARAPINA II,S/I,VIA PÚBLICA
9061,55857157,2024-08-18T00:00:00,00:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,CASTELANDIA,RUA ADERBAL ATHAÍDE GUIMARÃES,VIA PÚBLICA
9062,56071527,2024-08-18T00:00:00,19:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM RESIDÊNCIA/CONDOMÍNIO,ES,SERRA,ESTANCIA MONAZITICA,RUA RIO GRANDE DO SUL,RESIDÊNCIA
9063,55438908,2024-08-19T00:00:00,05:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVA ESPERANCA,AV.  AFONSO SCHWAB,VIA PÚBLICA
9064,55438953,2024-08-19T00:00:00,07:40:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,OUTRO LOCAL,S/I,INDUSTRIA
9065,55439002,2024-08-19T00:00:00,05:45:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,OUTRO LOCAL,S/I,INDUSTRIA
9066,55439199,2024-08-19T00:00:00,06:02:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVA VALVERDE,RUA FLORIANÓPOLIS,VIA PÚBLICA
9067,55439234,2024-08-19T00:00:00,05:55:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,NOVA BRASILIA,AVENIDA VILA VELHA,VIA PÚBLICA
9068,55439635,2024-08-19T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,INTERLAGOS,RUA BORBA GATO,VIA PÚBLICA
9069,55440254,2024-08-19T00:00:00,09:00:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM TRANSPORTE COLETIVO,ES,CARIACICA,CAMPO GRANDE,AV EXPEDITO GARCIA,RESIDÊNCIA
9070,55440480,2024-08-19T00:00:00,04:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SANTANA,ROD GOV JOSE SETTE,VIA PÚBLICA
9071,55442170,2024-08-19T00:00:00,04:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SANTO ANTONIO,S/I,VIA PÚBLICA
9072,55442644,2024-08-19T00:00:00,04:45:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,SANTO ANTONIO,RUA PERNAMBUCO,VIA PÚBLICA
9073,55443766,2024-08-19T00:00:00,Indeterminada,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,SERRA,BARRO BRANCO,S/I,VIA PÚBLICA
9074,55444719,2024-08-19T00:00:00,15:36:22,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: EM ESTABELECIMENTO COMERCIAL,ES,VITORIA,CENTRO,AV PRINCESA ISABEL,COMÉRCIO
9075,55446015,2024-08-19T00:00:00,22:30:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,LINHARES,ARACA,AV SAO MATEUS,VIA PÚBLICA
9076,55446154,2024-08-19T00:00:00,17:45:00,CRIMES CONTRA PATRIMÔNIO,CRIMES CONTRA PATRIMÔNIO: ROUBO: A PESSOA EM VIA PÚBLICA,ES,CARIACICA,RIO BRANCO,RUA SÃO PAULO,VIA PÚBLICA
